Player,Position,Team,Goals,Assists,Points,PlusMinus,PIM
Tomas Hertl,Forward,SJS,21,25,46,16,26
Shayne Gostisbehere,Defense,PHI,17,29,46,8,24
Marcus Johansson,Forward,WSH,17,29,46,12,16
Jiri Hudler,Forward,TOT,16,30,46,-1,27
Dylan Larkin,Forward,DET,23,22,45,11,34
David Backes,Forward,STL,21,24,45,4,83
Tomas Tatar,Forward,DET,21,24,45,4,24
Nazem Kadri,Forward,TOR,17,28,45,-15,73
T.J. Brodie,Defense,CGY,6,39,45,4,18
Anthony Duclair,Forward,ARI,20,24,44,12,49
Joe Colborne,Forward,CGY,19,25,44,-9,27
Kevin Shattenkirk,Defense,STL,14,30,44,-14,51
Mikael Granlund,Forward,MIN,13,31,44,-12,20
Andrei Markov,Defense,MTL,5,39,44,-6,38
Torey Krug,Defense,BOS,4,40,44,9,33
J.T. Miller,Forward,NYR,22,21,43,10,46
Chris Kreider,Forward,NYR,21,22,43,10,58
Joel Ward,Forward,SJS,21,22,43,-15,28
Nino Niederreiter,Forward,MIN,20,23,43,9,36
Rickard Rakell,Forward,ANA,20,23,43,-1,19
Jean-Gabriel Pageau,Forward,OTT,19,24,43,17,26
Gustav Nyquist,Forward,DET,17,26,43,-2,34
Teddy Purcell,Forward,TOT,14,29,43,-11,12
Dougie Hamilton,Defense,CGY,12,31,43,-14,46
Duncan Keith,Defense,CHI,9,34,43,13,26
Sam Reinhart,Forward,BUF,23,19,42,-8,8
Charlie Coyle,Forward,MIN,21,21,42,1,16
Artem Anisimov,Forward,CHI,20,22,42,8,12
Justin Abdelkader,Forward,DET,19,23,42,-16,120
Bryan Little,Forward,WPG,17,25,42,-13,12
Travis Zajac,Forward,NJD,14,28,42,3,25
P.A. Parenteau,Forward,TOR,20,21,41,0,68
Thomas Vanek,Forward,MIN,18,23,41,-9,22
Martin Hanzal,Forward,ARI,13,28,41,-5,77
Mathieu Perreault,Forward,WPG,9,32,41,-11,36
Rasmus Ristolainen,Defense,BUF,9,32,41,-21,33
Brock Nelson,Forward,NYI,26,14,40,-3,30
Jason Chimera,Forward,WSH,20,20,40,0,22
Brendan Gallagher,Forward,MTL,19,21,40,13,24
Chris Kunitz,Forward,PIT,17,23,40,29,41
Bo Horvat,Forward,VAN,16,24,40,-30,18
Ondrej Palat,Forward,TBL,16,24,40,10,20
Alex Killorn,Forward,TBL,14,26,40,14,44
Jake Muzzin,Defense,LAK,8,32,40,7,64
