Player,Position,Team,Goals,Assists,Points,PlusMinus,PIM
Joel Armia,Forward,WPG,4,6,10,2,12
Phillip Danault,Forward,TOT,4,6,10,-5,14
Jonathan Drouin,Forward,TBL,4,6,10,1,4
Brian Flynn,Forward,MTL,4,6,10,-3,6
Ben Lovejoy,Defense,PIT,4,6,10,9,30
Darnell Nurse,Defense,EDM,3,7,10,-13,60
Brooks Orpik,Defense,WSH,3,7,10,11,24
Nick Shore,Forward,LAK,3,7,10,-10,32
Austin Watson,Forward,NSH,3,7,10,-4,32
Mark Barberio,Defense,MTL,2,8,10,0,6
Matt Hunwick,Defense,TOR,2,8,10,-17,32
Ben Chiarot,Defense,WPG,1,9,10,-9,43
Braydon Coburn,Defense,TBL,1,9,10,12,53
Nick Schultz,Defense,PHI,1,9,10,-1,42
Ryan Murphy,Defense,CAR,0,10,10,-1,10
Rob Scuderi,Defense,TOT,0,10,10,7,10
Daniel Carr,Forward,MTL,6,3,9,0,8
Brandon Sutter,Forward,VAN,5,4,9,3,2
Dennis Rasmussen,Forward,CHI,4,5,9,9,4
Jarret Stoll,Forward,TOT,4,5,9,-1,36
Jordin Tootoo,Forward,NJD,4,5,9,-26,102
Kyle Clifford,Forward,LAK,3,6,9,-1,55
Ryan Dzingel,Forward,OTT,3,6,9,4,11
Carl Gunnarsson,Defense,STL,3,6,9,7,31
Nikita Nesterov,Defense,TBL,3,6,9,-6,41
Magnus Paajarvi,Forward,STL,3,6,9,-9,8
Dalton Prout,Defense,CBJ,3,6,9,-6,102
Matt Carle,Defense,TBL,2,7,9,4,26
Erik Gudbranson,Defense,FLA,2,7,9,3,49
Jamie McBain,Defense,LAK,2,7,9,2,6
Kerby Rychel,Forward,CBJ,2,7,9,5,15
Joel Edmundson,Defense,STL,1,8,9,0,63
Scott Gomez,Forward,TOT,1,8,9,-7,6
Adam McQuaid,Defense,BOS,1,8,9,6,89
Richard Panik,Forward,CHI,6,2,8,4,6
Oliver Bjorkstrand,Forward,CBJ,4,4,8,6,0
Rene Bourque,Forward,CBJ,3,5,8,-9,38
Cody Hodgson,Forward,NSH,3,5,8,2,6
Zack Kassian,Forward,EDM,3,5,8,-7,114
Shea Theodore,Defense,ANA,3,5,8,7,2
Klas Dahlbeck,Defense,ARI,2,6,8,-5,28
